salinity_surface_psu,temperature_surface_°c,mean_wind_speed_prior_week_m_s⁻¹,precipitation_prior_wk_cm,irradiance_w_m⁻²,total_river_m_s⁻¹
30.4,22.7,3.889248,1.1176,206.1,7.790832
30.2,22.1,4.336288,3.0988,261.7,7.5501119999999995
30.7,21.5,3.3975039999999996,2.4638,257.4,7.068671999999999
30.2,21.7,4.872736,0.0508,217.0,8.243952
30.2,20.5,3.7104320000000004,2.3114,188.3,7.584096
30.2,21.8,3.442208,2.9972,164.8,6.148272
30.2,21.1,3.3975039999999996,1.143,148.3,15.295632000000001
30.2,19.1,3.57632,0.0,173.7,7.980576
30.5,16.8,3.79984,0.0,135.2,11.299679999999999
30.2,16.1,4.068064,1.778,134.4,14.794368
30.4,15.8,3.621024,1.524,81.3,8.195808
30.2,16.1,3.12928,2.1082,61.2,9.495696
30.7,13.1,4.336288,0.0,101.2,12.316368
30.2,8.7,3.3528,5.9182,66.2,9.0624
30.2,6.9,5.81152,0.8128,40.6,14.96712
30.2,4.6,5.096256,0.508,65.7,32.601984
29.6,5.2,4.425696,1.524,56.6,32.154528
30.2,5.0,3.978656,1.5748,53.2,27.849888
30.7,4.9,5.051552,2.8702,43.5,26.065728
30.2,3.8,4.336288,2.9464,51.0,28.169904000000002
29.6,3.8,4.604512000000001,0.3048,53.0,39.319488
29.6,2.3,4.604512000000001,0.3302,76.1,46.014336
27.5,2.8,4.4704,0.381,63.3,28.736303999999997
30.7,2.0,5.36448,4.2164,79.9,27.402432
30.7,1.1,6.124447999999999,1.7526,101.9,38.659632
29.6,1.5,4.872736,5.1054,94.1,30.393023999999997
29.1,0.9,6.48208,1.8542,115.6,57.067632
28.6,1.4,5.543296,6.0198,100.1,35.855952
25.4,3.7,6.0350399999999995,0.1524,141.0,132.942576
26.5,3.9,6.526784,0.2032,160.0,52.700688
28.0,4.8,5.2303679999999995,1.1176,242.2,88.6416
27.5,4.0,6.124447999999999,2.9464,147.1,60.525504
29.1,5.4,4.202176,4.953,192.4,48.72456
27.5,6.6,5.319776,0.4064,209.3,64.41950399999999
28.6,8.6,4.336288,4.9276,174.7,70.37803199999999
26.5,11.8,4.604512000000001,3.1242,224.6,82.38288
29.1,10.2,5.6327039999999995,5.715,191.1,88.239456
30.7,13.0,4.202176,0.0,274.4,93.43617599999999
27.5,17.7,4.91744,2.1844,254.1,65.478672
28.0,21.9,4.783328,1.0414,179.6,29.512272
26.4,23.3,3.7104320000000004,6.3754,258.3,25.286928
28.4,20.1,4.559807999999999,1.6256,198.5,14.689584000000002
28.0,21.4,3.889248,2.1844,238.4,16.048944
29.6,21.3,3.486912,7.9248,186.9,12.166272
28.4,19.4,4.559807999999999,0.6604,182.5,19.560624
29.2,18.9,3.978656,1.7272,174.0,24.066336
29.2,20.0,3.6657279999999997,7.7724,98.2,14.570640000000001
29.2,18.6,4.604512000000001,0.4826,133.4,27.818736
28.4,17.0,4.380992,5.4102,142.4,15.93
29.2,15.8,4.202176,1.016,145.8,33.522384
29.2,13.9,4.649216,1.3208,122.6,33.074928
29.2,12.4,4.202176,3.2004,124.5,21.681792
29.2,11.5,3.844544,1.3716,78.7,19.614432
28.4,10.5,4.649216,6.1976,49.5,28.5324
29.2,9.2,4.604512000000001,5.207,44.5,75.829632
27.0,8.3,4.291583999999999,7.3152,94.3,95.815056
27.5,7.0,5.2303679999999995,2.4384,65.9,102.303168
27.0,6.5,5.856224,8.1788,53.6,107.90203199999999
24.7,5.8,4.649216,3.429,42.0,161.16912
27.5,4.1,5.990336,4.4958,41.2,116.95876799999999
27.5,4.5,4.425696,1.7272,68.1,90.083088
29.2,2.5,5.81152,0.0,97.1,121.453152
28.0,0.5,4.157472,1.524,84.2,58.91976
28.4,4.0,4.91744,3.4036,71.7,52.30704
26.4,4.0,4.380992,7.5692,110.2,74.47593599999999
28.4,4.0,6.079744,0.5588,85.1,110.97191999999998
27.0,0.9,5.766816,2.7686,122.9,103.300032
28.4,1.8,4.559807999999999,2.54,105.9,48.778368
28.4,3.0,4.380992,1.143,96.8,41.466144
27.0,5.5,4.157472,1.651,97.4,60.85968
29.2,4.5,4.872736,0.0,152.3,55.354271999999995
27.2,6.0,4.157472,4.4704,121.2,42.242112000000006
29.69,6.0,5.096256,2.0828,237.9,95.0844
27.2,7.0,5.36448,0.5588,227.1,75.29438400000001
27.2,10.5,4.425696,6.1722,139.6,44.12256
27.2,9.0,5.185664,0.2286,219.9,64.968912
27.2,11.0,4.336288,4.0386,200.8,57.078959999999995
27.72,13.2,4.336288,4.1148,217.1,52.476960000000005
27.72,13.0,4.112768,0.762,153.4,47.317056
27.2,13.5,4.425696,1.143,287.5,60.686928
27.2,15.5,4.02336,0.2286,226.9,39.158063999999996
28.75,20.0,4.068064,1.8542,250.1,24.239088000000002
28.75,18.0,4.604512000000001,0.4826,176.6,25.754208000000002
28.75,19.8,3.173984,6.6802,151.8,18.84696
28.75,19.5,4.649216,0.5842,227.8,45.22137599999999
27.2,24.5,3.7104320000000004,4.4196,224.8,51.68966399999999
26.7,21.2,3.844544,1.7018,233.7,25.046208
27.2,21.5,3.486912,0.1524,191.6,19.764528
28.24,20.5,4.157472,0.4318,208.0,16.527552
27.72,23.5,3.7551360000000003,11.3538,190.8,13.672896
28.24,22.0,3.3528,0.8636,197.2,32.848368
27.72,21.0,3.084576,1.0922,213.8,14.681088
27.72,24.0,3.12928,1.4224,180.0,10.798416
29.27,20.2,3.7104320000000004,2.6416,190.1,14.295936000000001
29.27,18.5,4.112768,3.4798,158.5,16.300992
29.27,18.0,4.02336,0.1778,158.8,22.10376
28.29,17.0,4.112768,1.9558,138.0,20.642448
28.24,15.8,3.218688,0.1524,154.3,13.384032000000001
29.78,16.0,3.844544,0.1016,117.4,10.990991999999999
29.78,13.5,3.79984,0.0,103.6,10.09608
29.78,12.5,4.4704,6.2738,89.2,8.977440000000001
29.78,10.2,6.750304,0.0,93.7,35.416992
30.81,8.9,5.14096,0.2794,73.5,16.652160000000002
30.3,8.0,4.783328,2.1844,56.8,12.945072
29.78,8.0,2.9504639999999998,2.921,64.4,13.55112
28.75,5.9,4.515104,3.2004,48.0,26.943648
29.78,7.6,4.604512000000001,4.2926,48.8,29.546256
27.72,6.0,4.425696,8.9916,49.3,61.916016
29.06,3.5,3.3975039999999996,3.81,42.3,78.74659199999999
30.09,1.2,4.336288,1.5494,48.4,58.49496
29.06,0.9,4.515104,2.8194,68.3,52.621392
30.09,4.0,4.738624,2.286,74.7,89.695104
30.6,1.2,4.9621439999999994,1.2192,95.5,58.11264
29.57,0.5,4.783328,4.0894,117.0,49.7016
30.09,3.1,5.81152,0.508,117.2,94.104528
29.06,3.7,5.051552,0.1778,96.3,71.539152
30.09,4.5,6.213856,4.3688,122.3,45.603696
30.6,3.9,6.392672,5.3848,174.3,43.188
29.57,4.2,5.498592,1.0922,151.3,105.7044
29.06,4.0,5.498592,1.7526,153.9,69.63604799999999
29.57,7.3,5.275072000000001,0.5588,126.4,81.37752
30.6,8.2,5.498592,0.1016,247.0,86.409984
30.09,9.2,5.051552,0.9652,208.7,55.597824
31.12,9.6,5.856224,3.4544,240.9,44.71728
30.09,11.7,4.604512000000001,0.1778,169.2,37.917648
29.57,14.1,5.453887999999999,2.0828,277.9,55.80739200000001
29.06,12.8,4.068064,1.4986,133.6,27.382608
30.09,14.1,3.933952,0.0,127.5,28.436112
30.09,18.6,3.978656,2.032,306.8,20.452704
30.6,17.8,3.933952,5.0038,237.5,12.500447999999999
29.06,19.4,4.112768,0.381,175.2,25.960943999999998
30.6,18.3,5.006848,3.048,168.0,15.088896000000002
31.64,21.0,4.291583999999999,1.0414,278.4,12.256896000000001
31.64,20.3,4.604512000000001,0.0,240.4,9.693936
32.15,21.3,3.442208,0.3302,198.4,7.612416
31.64,22.6,3.7551360000000003,0.7366,240.1,7.875792000000001
32.67,23.0,3.442208,7.2136,224.5,7.360368
31.64,22.1,3.933952,7.3406,131.6,11.565888000000001
31.64,19.7,4.112768,0.3556,113.4,19.053696
32.15,19.5,3.844544,1.5748,187.3,13.024368
31.64,18.2,4.02336,4.953,152.5,13.800336
31.12,17.8,4.02336,0.0,160.8,28.608864
32.15,15.8,4.02336,0.0,175.0,27.883872
32.67,15.1,3.6657279999999997,5.588,153.8,13.361376
32.15,11.2,4.604512000000001,0.254,119.1,35.079983999999996
31.64,10.9,4.872736,0.762,74.1,19.574784
32.15,9.8,4.559807999999999,2.3876,79.7,20.464032
32.67,7.8,4.872736,3.175,74.3,23.508432
31.64,5.6,4.380992,2.54,69.5,49.523184
31.12,5.1,3.844544,3.175,54.1,48.410208
30.09,3.7,4.336288,1.6256,51.9,53.941103999999996
32.15,4.8,3.933952,1.0668,52.0,32.689776
30.2,3.6,3.978656,9.8044,78.3,30.044687999999997
28.73,4.2,4.515104,3.3782,41.3,65.365392
27.65,1.6,5.453887999999999,2.5908,72.8,88.972944
30.44,3.3,4.559807999999999,0.7112,81.3,72.623808
29.9,2.1,4.604512000000001,2.3368,93.7,57.81528
29.86,1.8,4.291583999999999,1.2192,80.1,42.964272
29.17,1.4,4.157472,3.9624,91.1,35.312208
29.28,3.5,4.02336,1.1176,94.0,46.269216
29.94,2.6,5.6327039999999995,0.508,130.5,97.403808
29.24,2.5,5.14096,2.3876,145.9,49.97064
28.72,3.0,5.051552,2.8194,103.1,46.61472
28.95,5.1,5.006848,1.143,150.9,76.82649599999999
30.24,4.0,5.766816,4.3434,174.5,59.013216
28.73,4.0,7.197344,0.0,136.6,84.319968
29.99,5.7,5.275072000000001,0.1524,222.7,52.61856
30.86,6.2,5.945632,3.0988,181.6,36.263760000000005
27.73,9.7,4.24688,0.0,174.5,28.32
30.4,10.8,4.112768,2.667,273.9,24.05784
29.79,15.5,3.933952,0.0,235.8,30.531792
30.41,15.5,4.02336,1.6256,235.7,17.139264
29.17,19.5,4.112768,6.8834,242.0,13.780512
30.04,15.7,3.889248,4.3942,173.2,23.916240000000002
30.32,17.1,4.112768,0.0,163.0,26.513184000000003
29.8,19.8,3.978656,0.0,233.9,11.226048
30.54,21.0,3.263392,4.6228,252.8,8.59512
30.97,21.4,4.112768,0.381,164.3,10.908864
31.31,22.9,4.559807999999999,3.9116,235.1,9.793056
31.19,23.4,4.202176,0.0,245.9,9.390912
30.99,22.5,3.933952,0.0,171.2,12.211584
31.21,21.9,2.995168,0.0,202.7,7.544448
31.44,21.2,3.7104320000000004,1.8034,211.3,6.142607999999999
31.12,19.9,3.933952,0.1016,196.9,8.181648000000001
31.61,19.8,3.57632,3.1496,174.6,6.54192
31.71,17.8,4.291583999999999,1.6256,180.9,8.719728
31.26,18.2,3.084576,10.8712,124.7,8.6376
30.25,16.9,3.889248,0.4318,78.4,43.550495999999995
30.59,14.0,3.3528,4.7752,131.6,18.289056000000002
29.52,14.6,4.649216,2.921,81.9,54.937968
26.82,13.8,3.218688,0.6096,105.7,59.64192
30.31,13.6,4.24688,1.27,108.2,36.079679999999996
29.72,13.3,3.889248,8.3312,84.2,28.809936
28.58,10.8,4.336288,3.8354,90.6,84.504048
29.19,8.8,4.112768,0.0,60.4,80.369328
27.29,5.8,4.515104,2.032,74.6,62.745792
29.52,7.9,4.112768,3.683,42.4,72.35759999999999
27.41,1.8,4.336288,1.905,72.2,77.888496
29.5,5.0,4.649216,1.5494,140.8,66.51235199999999
29.5,3.0,4.872736,3.2258,93.0,54.07704
30.5,4.0,5.409184,2.6416,123.4,51.508416
26.7,4.0,5.766816,1.2954,151.3,60.129024
27.8,7.0,4.91744,2.413,219.7,48.45552
29.9,6.0,5.36448,0.2032,194.3,35.821968
29.9,11.0,4.425696,2.286,244.9,27.119232
29.9,10.0,4.202176,3.302,155.1,24.502464000000003
31.0,13.0,4.69392,2.286,268.4,34.374815999999996
30.5,14.2,4.738624,0.8128,200.5,27.705455999999998
29.9,14.5,4.649216,0.0,208.0,30.47232
30.5,15.5,3.6657279999999997,2.4384,230.7,19.761696
30.5,16.5,3.486912,0.2286,241.3,17.974704
31.0,21.5,4.291583999999999,2.1336,273.2,8.24112
31.0,23.0,3.308096,1.9812,235.0,9.991296
31.6,23.0,3.978656,2.794,266.9,6.884592
31.6,23.0,3.933952,2.3622,223.9,6.190752
32.6,21.5,4.425696,12.8778,258.7,7.450991999999999
31.6,20.0,3.7104320000000004,13.4874,172.1,13.551120000000001
31.0,21.0,4.02336,2.0828,181.4,30.33072
29.4,21.5,4.649216,0.0,247.1,39.124080000000006
29.9,23.3,3.7104320000000004,1.778,264.3,15.380592
